NAME,COUNTRY,CITY,POSTALCODE,WEBSITE,CONTACT_NAME,POSITION
A. TSOKKOS HOTELS PUBLIC LTD,Cyprus,AMMOCHOSTOS,5341,https://navigate.itb.com/company/A--TSOKKOS-HOTELS-PUBLIC-LTD--1000195,PANAYIOTA IONA,
a&o hostels Marketing GmbH,Germany,Berlin,10179,https://navigate.itb.com/company/a-o-hostels-Marketing-GmbH--1000180,Mariano De Franco,
AAA Hotels & Resorts Pvt Ltd,Maldives,Male',0000,https://navigate.itb.com/company/AAA-Hotels-Resorts-Pvt-Ltd--1215890,Ahmed Shifan,Sales & Revenue Manager
abba Hoteles,Spain,Barcelona,08014,https://navigate.itb.com/company/abba-Hoteles--1123216,David García Celdrán,International Sales Director
ABISENA UBUD BALI,Indonesia,BALI,80561,https://navigate.itb.com/company/ABISENA-UBUD-BALI--1216244,WAYAN PARKA,GENERAL MANAGER
Absalon Hotel Group,Denmark,Copenhagen V,1653,https://navigate.itb.com/company/Absalon-Hotel-Group--1000385,Karen Nedergaard,CEO
Acacia Hotels,Italy,campofelice di roccella,90010,https://navigate.itb.com/company/Acacia-Hotels--1000413,Marisa Carlisi,Contract Manager
Acapulco Resort Hotel,Cyprus,Kyrenia,99390,https://navigate.itb.com/company/Acapulco-Resort-Hotel--1204093,Özer Özbilen,Geschaeftsführer
Accor Hotels Luxembourg,Luxembourg,Luxembourg,L – 2015,https://navigate.itb.com/company/Accor-Hotels-Luxembourg--1216571,Alexandre Turquia,Director Corporate Accounts
ACCOR LUXURY & LIFESTYLE,France,ISSY LES MOULINEAUX,92240,https://navigate.itb.com/company/ACCOR-LUXURY-LIFESTYLE--1000457,Aurélien SUBIAS,Communication & Events Manager
Ace Hotel Kyoto,Japan,Kyoto,6048185,https://navigate.itb.com/company/Ace-Hotel-Kyoto--1216044,Shiho Ikeuchi,General Manager
"Acoya Curaçao Resort, Villas & Spa",Curaçao,Willemstad,0,https://navigate.itb.com/company/Acoya-Curaçao-Resort-Villas-Spa--1000511,Sander Langeveld,
Adaaran Resorts,Maldives,Male',000,https://navigate.itb.com/company/Adaaran-Resorts--1000562,Manujaya Fernando,Deputy General Manager- Sales & Marketing
Adalik Otelcilik Turizm Organzasyon Ticaret A.S.,Türkiye,Antalya,07112,https://navigate.itb.com/company/Adalik-Otelcilik-Turizm-Organzasyon-Ticaret-A-S--1003448,ilhan Yalcin,Sales and Marketing Director
ADALYA HOTELS,Türkiye,ANTALYA,07430,https://navigate.itb.com/company/ADALYA-HOTELS--1000578,ABDULLAH GÜNGÖR,Director of Sales & Marketing
ADAMS BEACH HOTEL,Cyprus,AMMOCHOSTOS,5330,https://navigate.itb.com/company/ADAMS-BEACH-HOTEL--1000580,Constantina Christoudia,Sales and Marketing Executive
Adhitya Ayurveda (Pvt) Ltd,Sri Lanka,Anuradhapura,50000,https://navigate.itb.com/company/Adhitya-Ayurveda-Pvt-Ltd--1214038,Sajani Weerakkody,Senior Executive - Front Office & Guest Relations
Aegeon sa,Greece,MALIA,70007,https://navigate.itb.com/company/Aegeon-sa--1207340,Kostas Aretakis,Sales & Assistant Hotel Manager
Africa Eco Expeditions Camp,Tanzania,Arusha,67889,https://navigate.itb.com/company/Africa-Eco-Expeditions-Camp--1216520,Shannon Witz,"Founder, Managing Director"
African Bush Camps,Switzerland,Kirchberg,9533,https://navigate.itb.com/company/African-Bush-Camps--1215407,Tristan Cowley,Founder and CEO
African Monarch Lodges,Namibia,Windhoek,10005,https://navigate.itb.com/company/African-Monarch-Lodges--1213856,Tinolla Rodgers,MD/Owner
African Sun Hotels,Zimbabwe,Harare,N/A,https://navigate.itb.com/company/African-Sun-Hotels--1000857,Maxwell Moyo,Head Sales
Africa Spirit Srl,Italy,Buttigliera Alta,10090,https://navigate.itb.com/company/Africa-Spirit-Srl--1000826,MR CARMELO REITANO,DIRECTOR
AFRICAWILDTRUCK,Malawi,MULANJE,PO BOX 42,https://navigate.itb.com/company/AFRICAWILDTRUCK--1204736,Francesca Guazzo,CEO
AGAPI BEACH RESORT / FARAWAY HORIZONS SINGLE MEMBER S.A.,Greece,Heraklion,71414,https://navigate.itb.com/company/AGAPI-BEACH-RESORT-/-FARAWAY-HORIZONS-SINGLE-MEMBER-S-A--1216535,Victoria Dolgopolaja,Sales & Marketing Manager
AHG Hotel & Resort,United Kingdom,"Widdington, Saffron Walden",CB11 3SU,https://navigate.itb.com/company/AHG-Hotel-Resort--1001244,Giada Viviani,Sales & Marketing Manager
AIDA Cruises – German Branch of Costa Crociere S.p.A.,Germany,Rostock,18055,https://navigate.itb.com/company/AIDA-Cruises-German-Branch-of-Costa-Crociere-S-p-A--1001275,Ann-Sophie Steffens,
Aitken Spence Hotel Managements (Pvt) Ltd,Sri Lanka,Colombo 02,00200,https://navigate.itb.com/company/Aitken-Spence-Hotel-Managements-Pvt-Ltd--1001402,Suhith Jayasinghe,General Manager - Sales & Marketing
Akassia Tourism Marketing,Egypt,Marsa Alam,84721 El-Quseir,https://navigate.itb.com/company/Akassia-Tourism-Marketing--1216494,Reham Mostafa,Deputy Director of Sales & Marketing
AKHWAN TRAVELS & TOURS,Pakistan,KARACHI,75800,https://navigate.itb.com/company/AKHWAN-TRAVELS-TOURS--1205863,Inamullah Khan,CEO
AKKA HOTELS,Türkiye,ANTALYA,07900,https://navigate.itb.com/company/AKKA-HOTELS--1208106,OYKUM ZISAN URAL,
ALAYA RESORT UBUD,Indonesia,Bali,80571,https://navigate.itb.com/company/ALAYA-RESORT-UBUD--1001588,Ni Putu Nila Kresna Wardani,Director of Sales and Marketing
ALBA Hotels,Türkiye,Manavgat-Side,07600,https://navigate.itb.com/company/ALBA-Hotels--1216857,Mehmet Harmandar,Sales Manager
Albatros Arctic Circle,Greenland,Ilulissat,3952,https://navigate.itb.com/company/Albatros-Arctic-Circle--1216988,JØRGEN LARSEN,Manager
Albena JSCo,Bulgaria,"Balchik, Albena Resort",9620,https://navigate.itb.com/company/Albena-JSCo--1001635,Viktoriya Valkova,Sales Manager
ALDAU Development,Egypt,Cairo,3296131,https://navigate.itb.com/company/ALDAU-Development--1001681,Mayada Abdelmotteleb,Marketing Director
ALEGRIA HOTELS,Spain,Santa Susanna,08398,https://navigate.itb.com/company/ALEGRIA-HOTELS--1216738,LARA PASCUAL,Commercial Manager
"Al Habtoor Grand Resort, Autograph Collection",United Arab Emirates,Dubai,24454,https://navigate.itb.com/company/Al-Habtoor-Grand-Resort-Autograph-Collection--1018709,Arda Kocturk,Sales Manager - Leisure
ALIATHON RESORT,Cyprus,Pafos,8201,https://navigate.itb.com/company/ALIATHON-RESORT--1216124,Xenios Xenophontos,Sales & Marketing Manager
Alila Kothaifaru Maldives,Maldives,Raa Atoll,05110,https://navigate.itb.com/company/Alila-Kothaifaru-Maldives--1001760,Naziya Hassan,ADOS
Aliya Resort & Spa (Pvt) Ltd,Sri Lanka,Colombo 06,00600,https://navigate.itb.com/company/Aliya-Resort-Spa-Pvt-Ltd--1214468,Subhashini Paul,Secretary to Chairman
Al Khoory Hotels,United Arab Emirates,Dubai,6237,https://navigate.itb.com/company/Al-Khoory-Hotels--1216553,Elias El Sous,Head of Sales
ALL STREET SRL,Italy,ALGHERO,07040,https://navigate.itb.com/company/ALL-STREET-SRL--1216620,MASSIMO GIACALONE,DIRECTOR OF SALES
Al Messila Luxury Collection Resort & Spa,Qatar,Doha,1320,https://navigate.itb.com/company/Al-Messila-Luxury-Collection-Resort-Spa--1207535,Aparajita Misra,
