NAME,COUNTRY,CITY,POSTALCODE,WEBSITE,CONTACT_NAME,POSITION
Abbey - The Destination Experts,Ireland,Dublin,D08 NT3K,https://navigate.itb.com/company/Abbey---The-Destination-Experts--1205417,Mylène Campalto,Head of Sales Europe
Abercrombie & Kent East and Southern Africa,Kenya,Nairobi,00200,https://navigate.itb.com/company/Abercrombie-Kent-East-and-Southern-Africa--1000177,Edna Saul,Regional Sales Manager East Africa
Abercrombie & Kent Group,United Kingdom,Cheltenham,GL50 3LG,https://navigate.itb.com/company/Abercrombie-Kent-Group--1164031,Carolin McLeod,Sales Manager Germany
Address Beach Resort Dubai,United Arab Emirates,DUBAI,UAE DUBAI,https://navigate.itb.com/company/Address-Beach-Resort-Dubai--1206599,Cordier Clemence,
A DONG VIDOTOUR LTD,Vietnam,Ho Chi Minh,70000,https://navigate.itb.com/company/A-DONG-VIDOTOUR-LTD--1043335,Khoi Tran,Deputy Managing Director
MAGADH Travels & Tours Pvt. Ltd,India,NEW DELHI,110058,https://navigate.itb.com/company/MAGADH-Travels-Tours-Pvt--Ltd--1215920,BRIKELA BEJKO,ADMINISTRATOR
Ajman Department of Tourism Development,United Arab Emirates,AJMAN,1144,https://navigate.itb.com/company/Ajman-Department-of-Tourism-Development--1001417,Shamsa Mubarak Thani,Director of Marketing & Promotions Section
Amadeus Flusskreuzfahrten GmbH,Germany,Leonberg,71229,https://navigate.itb.com/company/Amadeus-Flusskreuzfahrten-GmbH--1002057,Rendel (Reinhild) Müller,Direktorin Vertrieb & MArketing
Anantara The Palm Dubai Resort | Anantara World Islands Dubai Resort,United Arab Emirates,Dubai,71607,https://navigate.itb.com/company/Anantara-The-Palm-Dubai-Resort-|-Anantara-World-Islands-Dubai-Resort--1002313,Manish Singh,Cluster Director of Sales
ARABIAN ADVENTURES,United Arab Emirates,Dubai,,https://navigate.itb.com/company/ARABIAN-ADVENTURES--1206442,Dora Paradies,Market Manager Europe
ARADA,United Arab Emirates,Sharjah,0000,https://navigate.itb.com/company/ARADA--1216229,Elena Salen,Partnership and Sponsorship Manager
Arealago Srl,Italy,Desenzano del Garda,25015,https://navigate.itb.com/company/Arealago-Srl--1215240,Edo Giazzoli,CEO
"ASIA TRAVEL AND ESTATE CO.,LTD.",Thailand,Bangkok,10900,"https://navigate.itb.com/company/ASIA-TRAVEL-AND-ESTATE-CO-,LTD--1216478",DOMENICO LIANTONIO,CEO & MANAGING DIRECTOR
Atlantis Dubai,United Arab Emirates,Dubai,211222,https://navigate.itb.com/company/Atlantis-Dubai--1003483,Dennis de Winter,"Account Director, Sales"
Atmosphere Core Private Limited,Maldives,Male,20054,https://navigate.itb.com/company/Atmosphere-Core-Private-Limited--1003505,Ali Abdulla,AVP - Marketing
Avellera - Full Service DMC Europe,Austria,Wien,1150,https://navigate.itb.com/company/Avellera---Full-Service-DMC-Europe--1214469,Clemens Sengwein-Réti,
Balkan Destination,Kosovo,Prishtinë,10000,https://navigate.itb.com/company/Balkan-Destination--1216523,Arsim Rexhepi,CEO
Baraza Resort & Spa,Tanzania,Zanzibar,0000,https://navigate.itb.com/company/Baraza-Resort-Spa--1004280,Sujit Shah,Sales & Marketing
Bhutan Visit,Bhutan,"Thimphu,",0,https://navigate.itb.com/company/Bhutan-Visit--1216592,Louisa Dorji,Managing Director
BOTANIQ Collection,Hungary,Budapest,1026,https://navigate.itb.com/company/BOTANIQ-Collection--1217104,Kiss Zsuzsanna,Sales Manager
BOUGAINVILLEA GROUP OF LODGES,Tanzania,ARUSHA,0,https://navigate.itb.com/company/BOUGAINVILLEA-GROUP-OF-LODGES--1005826,REGINALD BAGHAYO,DIRECTOR
Breezes Beach Club & Spa,Tanzania,Zanzibar,P.O.Box 1361,https://navigate.itb.com/company/Breezes-Beach-Club-Spa--1005976,Sujit Shah,Sales & Marketing
Canna bali,Indonesia,bali,80363,https://navigate.itb.com/company/Canna-bali--1216257,Fitria Annisa,Dosm
CEBECİ GLOBAL,Türkiye,Manavgat,07400,https://navigate.itb.com/company/CEBECİ-GLOBAL--1214444,AYHAN CEBECİ,OWNER
Cheli & Peacock Safaris,Kenya,Nairobi,00502,https://navigate.itb.com/company/Cheli-Peacock-Safaris--1007451,Quentin Savage,Chief Operating Officer
Chikunto Safaris,Zambia,MFUWE,.,https://navigate.itb.com/company/Chikunto-Safaris--1007502,Gareth Jones,Director
